"species","AIC_nonBI","pseudoR2_nonBI","AUC_nonBI","Brier_nonBI","AIC_additive","pseudoR2_additive","AUC_additive","Brier_additive","AIC_interaction","pseudoR2_interaction","AUC_interaction","Brier_interaction","dAIC_additive","dAUC_additive","dBrier_additive","dAIC_interaction_vs_additive","dAUC_interaction_vs_additive","best_model_AIC","best_model_AUC","additive_better_than_nonBI","interaction_better_than_additive","recommended_model"
"COYE",143.76720202091,0.264070897820066,0.840423520514275,0.134731038344561,145.315413205627,0.266449743016929,0.838060124787294,0.133820597567178,146.903949406021,0.268616261200345,0.839005483078087,0.134002144969381,1.54821118471656,-0.00236339572698052,-0.00091044077738292,1.58853620039429,0.000945358290792231,"Non-BI","Non-BI",FALSE,FALSE,"Non-BI (BI not helpful)"
"MAWA",181.663165578438,0.29181057158608,0.841292134831461,0.157738793158754,183.561013807888,0.292217762371868,0.843490473864192,0.157963547418206,184.562026139294,0.29619986245272,0.844101123595506,0.15704986149755,1.89784822944972,0.00219833903273081,0.000224754259451954,1.00101233140586,0.000610649731314084,"Non-BI","Interaction BI",FALSE,FALSE,"Non-BI (BI not helpful)"
"VEER",110.94055676504,0.264290589651134,0.849871794871795,0.0907033463133716,111.787159235712,0.272225515762131,0.856923076923077,0.0903473839565094,113.574592770464,0.273687890314297,0.857435897435897,0.0896653834232843,0.846602470672437,0.00705128205128203,-0.000355962356862166,1.78743353475188,0.000512820512820533,"Non-BI","Interaction BI",FALSE,FALSE,"Non-BI (BI not helpful)"
