species,n_val_bi,AIC,pseudoR2,AUC,Brier
COYE,166,146.90394940602116,0.26861626120034454,0.8390054830780866,0.13400214496938115
MAWA,181,184.56202613929375,0.2961998624527198,0.8441011235955056,0.15704986149755037
VEER,181,113.57459277046435,0.27368789031429663,0.8574358974358974,0.08966538342328426
