species,n_val,AIC,pseudoR2,AUC,Brier
COYE,166,143.7672020209103,0.2640708978200659,0.8404235205142749,0.13473103834456085
MAWA,181,181.66316557843817,0.29181057158608026,0.8412921348314607,0.15773879315875364
VEER,181,110.94055676504003,0.2642905896511344,0.8498717948717949,0.09070334631337157
