species,AIC_nonBI,pseudoR2_nonBI,AUC_nonBI,Brier_nonBI,AIC_BI,pseudoR2_BI,AUC_BI,Brier_BI,dAIC,dPseudoR2,dAUC,dBrier
COYE,143.7672020209103,0.2640708978200659,0.8404235205142749,0.13473103834456085,146.90394940602116,0.26861626120034454,0.8390054830780866,0.13400214496938115,3.1367473851108514,0.004545363380278666,-0.0014180374361882908,-7.288933751797011e-4
MAWA,181.66316557843817,0.29181057158608026,0.8412921348314607,0.15773879315875364,184.56202613929375,0.2961998624527198,0.8441011235955056,0.15704986149755037,2.8988605608555815,0.004389290866639528,0.002808988764044895,-6.889316612032625e-4
VEER,110.94055676504003,0.2642905896511344,0.8498717948717949,0.09070334631337157,113.57459277046435,0.27368789031429663,0.8574358974358974,0.08966538342328426,2.6340360054243206,0.009397300663162245,0.0075641025641025594,-0.0010379628900873128
